
========================================================================
  ALL-TRACKS COMPREHENSIVE RESULTS REPORT
  Generated : 2026-05-19
  Tracks    : CharlesTown, Delta Downs, Evangeline Downs, Fair Grounds, Fairmount Park, Gulfstream Park, Mahoning Valley
  Min starts: 5 (trainers/jockeys) | 3+ wins (iron horses)
========================================================================


========================================================================
  TRACK: CHARLESTOWN
  Files : 394 processed  |  0 skipped
  Races : 3233
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  --------------------------------  ----  ---  ------  ---------
  Farrior, Anthony                  1140  292   25.6%      $5.44
  Brown, Ronney                     1299  275   21.2%      $8.31
  Runco, Jeff                        837  215   25.7%      $7.22
  Jones, Jr., Michael               1102  116   10.5%     $11.48
  Grams, Timothy                     612  112   18.3%      $7.31
  Contreras, Javier                  641  104   16.2%      $8.99
  Joy, Kevin                         592   96   16.2%      $8.96
  McKee, Cynthia                     380   68   17.9%      $8.74
  Sigler, Ronald                     365   66   18.1%     $10.24
  Shanley, Timothy                   593   60   10.1%     $16.40
  Petty, Kristy                      321   55   17.1%      $9.05
  Murdock, Stephen                   124   51   41.1%      $5.17
  Walters, David                     225   48   21.3%     $10.19
  Viands, Stacey                     373   46   12.3%     $10.01
  Peltroche, Vanessa                 294   42   14.3%     $10.66
  Adorno, Jean                       264   39   14.8%     $10.78
  Reynolds, Joan                     138   37   26.8%      $8.91
  Knudsen, Kent                      314   32   10.2%     $13.77
  Lucas, Anthony                     260   30   11.5%     $10.71
  Mangual, Manolo                    180   28   15.6%     $10.92
  Atkins, Michael                    252   28   11.1%     $22.69
  Sanderson, Wade                    154   27   17.5%     $12.81
  Gazzier, Kristy                    223   26   11.7%     $12.04
  Johnson, Dewayne                   161   23   14.3%     $14.50
  Boggs, M.                          189   23   12.2%     $22.00
  Figgins III, Ollie                 212   23   10.8%      $8.74
  Meehan, Elizabeth                  136   22   16.2%     $12.51
  Rideoutt II, Anthony               164   20   12.2%     $11.70
  Wilson, Michelle                   113   19   16.8%     $10.81
  Jackson, Angelo                    153   19   12.4%     $18.57
  Craig, Jr., Lewis                  114   18   15.8%     $13.04
  Jackson, Sherry                    116   18   15.5%     $14.90
  Sandoval, Michael                  120   18   15.0%     $20.50
  Keller, Christopher                188   18    9.6%     $12.11
  Gillespie, Ryan                    205   18    8.8%     $15.87
  Hanagan, Lela                      125   17   13.6%      $7.85
  Carlisle, John                     168   17   10.1%     $11.32
  Haynes, Ernest                      80   16   20.0%      $8.97
  Brown, Keith                       139   16   11.5%     $20.15
  Collins, Timothy                   158   16   10.1%     $13.82
  Ramos Agosto, Miguel               168   16    9.5%      $6.33
  King, Jr., James                    56   15   26.8%      $6.97
  Deiter, Kelly                      111   15   13.5%     $14.32
  Sterling, Michael                   74   14   18.9%      $9.93
  Russell, Brittany                   23   13   56.5%      $4.26
  Kreiser, Timothy                    34   13   38.2%      $5.89
  Magee, Kieron                       48   13   27.1%      $5.88
  Johnson, Jamey                      83   13   15.7%      $7.83
  Wilhelm, Tabitha                   116   13   11.2%      $8.74
  Clatterbuck, Frederick             144   13    9.0%     $29.58
  Comi, Jr., Ralph                    77   12   15.6%      $7.88
  Spriggs, Toschia                    82   12   14.6%     $13.65
  Bass, Curtis                        90   12   13.3%      $8.82
  Cromer, Leslie                      48   11   22.9%     $12.84
  Cruz, Jesus                         24   10   41.7%      $4.66
  Barber, Donald                      43   10   23.3%     $14.20
  Ginter, Jr., Raymond                51   10   19.6%     $19.52
  Brown, Kelton                       72   10   13.9%      $8.10
  Geralis, Emanuel                    19    9   47.4%      $7.16
  Robb, John                          30    9   30.0%     $12.00
  Curtis, Larry                       30    9   30.0%      $7.11
  Kravets, Bruce                      62    9   14.5%      $8.76
  Rose, David                         64    9   14.1%     $15.80
  Siculietano, Daniel                 68    9   13.2%     $12.02
  O'Neill, Tonya                     110    9    8.2%     $25.02
  Smith, Osborne                     117    9    7.7%     $30.29
  Chircop, Steven                     38    8   21.1%      $9.62
  McGill, Sylvester                   59    8   13.6%     $33.05
  Mancilla, Carlos                    63    8   12.7%     $13.07
  Stites, Flint                       67    8   11.9%     $17.47
  Pickett, Crystal                   138    8    5.8%     $11.60
  Capuano, Phillip                    27    7   25.9%      $6.11
  Butts, Mike                         39    7   17.9%     $26.34
  Perry, Jr., Lawrence                68    7   10.3%     $10.31
  Aylor, Natasha                      88    7    8.0%     $26.60
  Schoenthal, Phil                    13    6   46.2%      $8.93
  Singh, Somraj                       29    6   20.7%      $4.97
  Hetrick, Krista                     31    6   19.4%      $9.40
  Grigsby, Anthony                    34    6   17.6%     $13.00
  Martinez, Joey                      35    6   17.1%      $7.80
  Perri, Gina                         38    6   15.8%     $10.63
  McEntee, Paul                       39    6   15.4%      $6.00
  Groves, Janice                      50    6   12.0%     $11.60
  Collyer, Jamie                      55    6   10.9%     $34.20
  Lane, Scott                         56    6   10.7%     $30.57
  Frock, Charles                      62    6    9.7%      $8.90
  Rofe, Jean                          82    6    7.3%     $10.33
  Racanelli, Mark                     86    6    7.0%     $32.13
  Pyke, Joseph                       162    6    3.7%     $14.63
  DeMario, Charles                    14    5   35.7%     $12.08
  Spangler, Jill                      15    5   33.3%      $4.44
  Bailes, W.                          20    5   25.0%      $5.88
  Tuomisto, Clifford                  37    5   13.5%      $8.40
  Kirlew, Lenworth                    44    5   11.4%     $14.64
  Hess, Jacob                         48    5   10.4%     $13.16
  Venham, Lyn                         55    5    9.1%     $12.96
  Hillegass, Alexandra                59    5    8.5%     $11.84
  Davis, Russell                      61    5    8.2%     $22.96
  Davis III, Russell                  68    5    7.4%     $26.76
  Gomez, Analia                       81    5    6.2%     $11.68
  Stehr, Joseph                       82    5    6.1%      $6.84
  Straughn, William                   82    5    6.1%     $18.28
  Perez, Ernesto                      83    5    6.0%     $13.20
  Lewis, Jr., William                103    5    4.9%     $42.08
  Rangel, Ricardo                    120    5    4.2%     $14.08
  Boykins, Kevin                     147    5    3.4%     $17.48
  Godsey, Jr., Claudie                 5    4   80.0%      $2.95
  McFarlane, Brandon                   9    4   44.4%      $8.05
  Joseph, Jr., Saffie                 14    4   28.6%      $7.45
  Meyers, Madison                     17    4   23.5%      $5.85
  Greaves, Vernon                     20    4   20.0%      $5.35
